,trail_id,name,area_name,city_name,state_name,country_name,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,features,activities,units,park_code
307,10294501,Boca Chita Trail,Biscayne National Park,Homestead,Florida,United States,"{'lat': 25.52443, 'lng': -80.17485}",1.9961,1287.472,0.9144,1,loop,1.0,3.0,3,"['beach', 'dogs-no', 'forest', 'historic-site', 'kids', 'views', 'wildlife']","['hiking', 'walking']",i,look
308,10347885,Jetty Trail,Biscayne National Park,Homestead,Florida,United States,"{'lat': 25.46415, 'lng': -80.3356}",3.9733,1448.406,0.0,1,out and back,2.0,4.0,14,"['kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,look
309,10294502,Black Creek Canal Trail,Biscayne National Park,Homestead,Florida,United States,"{'lat': 25.54017, 'lng': -80.32772}",4.3565,2735.878,0.9144,1,out and back,2.0,4.0,16,"['beach', 'dogs-no', 'forest', 'kids', 'views', 'wildlife']","['hiking', 'nature-trips', 'walking']",i,look
310,10034730,Biscayne National Park Walk,Biscayne National Park,Miami,Florida,United States,"{'lat': 25.53849, 'lng': -80.33091}",5.8949,15932.466,0.9144,1,out and back,1.0,4.0,16,"['beach', 'dogs-no', 'kids', 'paved', 'views', 'wildlife']","['birding', 'fishing', 'nature-trips', 'paddle-sports', 'road-biking', 'trail-running', 'walking', 'sea-kayaking', 'canoeing']",i,look
515,10259207,Clayton County International Park Trail,"Clayton Co International Park, Jonesboro GA",Jonesboro,Georgia,United States,"{'lat': 33.5312, 'lng': -84.31568}",4.7291,2574.944,36.8808,3,loop,1.0,4.0,26,"['dogs-leash', 'forest', 'kids', 'views', 'wild-flowers']","['birding', 'hiking', 'mountain-biking', 'nature-trips', 'trail-running', 'walking']",i,look
523,10269694,Cedar Creek,"Congaree National Park,",Gadsden,South Carolina,United States,"{'lat': 33.81969, 'lng': -80.7879}",3.3083,12070.05,2.7432,1,out and back,2.0,3.5,3,"['dogs-leash', 'kids', 'river', 'views', 'wildlife']","['birding', 'nature-trips', 'paddle-sports', 'whitewater-kayaking', 'canoeing']",i,look
695,10025862,Fort Jefferson Loop,Dry Tortugas National Park,Key West,Florida,United States,"{'lat': 24.62723, 'lng': -82.87242}",5.1776,804.67,0.9144,1,loop,3.0,4.5,10,"['beach', 'kids', 'views', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'paddle-sports', 'walking', 'canoeing']",i,look
720,10407786,Fort Hunt Park Short Loop,Fort Hunt National Park,Alexandria,Virginia,United States,"{'lat': 38.71507, 'lng': -77.05733}",0.8215,1126.538,3.9624,1,loop,2.0,2.0,2,"['dogs-leash', 'kids', 'paved', 'strollers']","['nature-trips', 'road-biking', 'walking']",i,look
721,10407795,Fort Hunt Park Main Loop,Fort Hunt National Park,Alexandria,Virginia,United States,"{'lat': 38.71518, 'lng': -77.05732}",1.8554,2092.142,9.7536,1,loop,2.0,4.0,4,"['dogs-leash', 'kids', 'paved', 'strollers']","['nature-trips', 'road-biking', 'walking']",i,look
722,10018025,Mount Vernon Trail,Fort Hunt National Park,Mount Vernon,Virginia,United States,"{'lat': 38.7108, 'lng': -77.08579}",12.0866,29611.856,188.976,1,out and back,2.0,4.0,118,"['ada', 'dogs-leash', 'kids', 'paved', 'river', 'strollers', 'views', 'wild-flowers']","['birding', 'hiking', 'nature-trips', 'road-biking', 'trail-running', 'walking']",i,look
723,10111232,Blackbird Marsh Trail,Fort Pickens National Park,Gulf Breeze,Florida,United States,"{'lat': 30.31943, 'lng': -87.26118}",4.9089,2574.944,2.7432,1,loop,,4.5,14,"['dogs-leash', 'kids', 'views', 'wildlife']","['birding', 'hiking', 'walking']",i,look
724,10035361,Fort Pickens Trail,Fort Pickens National Park,Gulf Breeze,Florida,United States,"{'lat': 30.31858, 'lng': -87.24114}",7.8388,13196.588,26.8224,1,out and back,,4.5,35,"['beach', 'dogs-no']","['hiking', 'mountain-biking', 'trail-running', 'walking']",i,look
